x,y,z,x_sym,y_sym,z_sym
61939,98717,31464,65092,95980,34594
61939,98717,37464,64629,95780,40535
61939,98717,43464,64091,95560,46567
61939,98717,49464,63518,95358,52613
61939,98717,55464,62969,95220,58549
61939,98717,61464,62513,95175,64276
61939,98717,67464,62239,95202,69813
61939,98717,73464,62251,95247,75322
61939,98717,79464,62598,95277,81002
61939,98717,85464,63128,95276,86875
61939,98717,91464,63468,95264,92769
61939,98717,97464,63376,95309,98571
61939,98717,103464,62979,95427,104340
61939,98717,109464,62451,95578,110158
61939,98717,115464,61883,95716,116026
61939,98717,121464,61322,95804,121917
61939,98717,127464,60822,95817,127822
61939,98717,133464,60454,95742,133755
61939,98717,139464,60226,95601,139724
61939,98717,145464,60048,95459,145715
61939,98717,151464,59824,95385,151705
61939,98717,157464,59567,95411,157675
61939,98717,163464,59350,95521,163630
61939,98717,169464,59177,95693,169579
61939,98717,175464,59010,95902,175518
61939,98717,181464,58909,96100,181436
61939,98717,187464,59016,96235,187328
61939,98717,193464,59445,96285,193207
61939,98717,199464,60159,96272,199128
61939,98717,205464,60808,96232,205234
61939,98717,211464,61132,96159,211709
61939,98717,217464,61305,96029,218482
61939,98717,223464,61710,95885,225010
61939,98717,229464,62438,95883,230795
61939,104717,31464,65689,101560,35278
61939,104717,37464,65308,101357,41259
61939,104717,43464,64885,101136,47307
61939,104717,49464,64456,100931,53345
61939,104717,55464,64068,100793,59249
61939,104717,61464,63776,100757,64915
61939,104717,67464,63639,100813,70368
61939,104717,73464,63707,100909,75777
61939,104717,79464,63970,101009,81319
61939,104717,85464,64306,101096,87032
61939,104717,91464,64508,101171,92822
61939,104717,97464,64443,101258,98611
61939,104717,103464,64141,101367,104404
61939,104717,109464,63695,101481,110231
61939,104717,115464,63184,101573,116096
61939,104717,121464,62666,101619,121986
61939,104717,127464,62192,101609,127893
61939,104717,133464,61805,101540,133821
61939,104717,139464,61511,101433,139772
61939,104717,145464,61269,101328,145740
61939,104717,151464,61036,101267,151709
61939,104717,157464,60804,101274,157669
61939,104717,163464,60595,101347,163616
61939,104717,169464,60418,101470,169553
61939,104717,175464,60283,101620,175477
61939,104717,181464,60235,101764,181384
61939,104717,187464,60350,101871,187278
61939,104717,193464,60676,101924,193177
61939,104717,199464,61161,101925,199129
61939,104717,205464,61627,101886,205217
61939,104717,211464,61958,101807,211491
61939,104717,217464,62230,101700,217853
61939,110717,37464,66046,106995,41822
61939,110717,43464,65721,106788,47854
61939,110717,49464,65406,106600,53859
61939,110717,55464,65136,106478,59726
61939,110717,61464,64951,106460,65367
61939,110717,67464,64885,106538,70809
61939,110717,73464,64953,106669,76194
61939,110717,79464,65129,106811,81662
61939,110717,85464,65329,106942,87264
61939,110717,91464,65437,107056,92964
61939,110717,97464,65375,107159,98717
61939,110717,103464,65140,107256,104505
61939,110717,109464,64775,107340,110331
61939,110717,115464,64335,107398,116190
61939,110717,121464,63873,107419,122075
61939,110717,127464,63434,107398,127979
61939,110717,133464,63048,107340,133901
61939,110717,139464,62725,107259,139840
61939,110717,145464,62450,107181,145789
61939,110717,151464,62202,107133,151742
61939,110717,157464,61976,107130,157689
61939,116717,61464,66030,112271,65613
61939,116717,67464,65994,112354,71088
61939,116717,73464,66044,112489,76503
61939,116717,79464,66151,112640,81962
61939,116717,85464,66261,112782,87516
61939,116717,91464,66306,112906,93164
67939,8717,49464,65399,7931,39429
67939,8717,55464,66558,7612,45107
67939,8717,61464,67389,7375,51448
67939,8717,67464,67769,7241,58198
67939,8717,73464,67671,7206,65011
67939,14717,43464,64621,13489,33300
67939,14717,49464,66168,13010,38139
67939,14717,55464,67516,12754,43990
67939,14717,61464,68485,12572,50772
67939,14717,67464,68884,12539,58055
67939,14717,73464,68677,12629,65173
67939,14717,79464,67977,12752,72002
67939,20717,37464,63528,19017,28922
67939,20717,43464,65142,18262,32790
67939,20717,49464,66904,17582,37580
67939,20717,55464,68413,17644,44200
67939,20717,61464,69440,17457,50974
67939,20717,67464,69803,17676,58676
67939,20717,73464,69457,17996,65843
67939,20717,79464,68527,18242,72614
67939,20717,85464,67308,18452,79202
67939,26717,25464,62292,25212,19818
67939,26717,31464,63363,24256,24345
67939,26717,37464,64275,23737,29300
67939,26717,43464,65796,23099,34093
67939,26717,49464,67284,22273,40846
67939,26717,55464,68867,21832,46735
67939,26717,61464,69819,21925,52857
67939,26717,67464,70200,22661,60282
67939,26717,73464,69750,23300,66944
67939,26717,79464,68615,23709,73512
67939,26717,85464,67257,24016,80000
67939,32717,19464,62830,31534,15327
67939,32717,25464,63649,30347,19422
67939,32717,31464,64926,29073,23545
67939,32717,37464,65997,28828,29444
67939,32717,43464,66870,28440,35826
67939,32717,49464,67696,27679,42700
67939,32717,55464,68142,26909,49331
67939,32717,61464,69288,27184,55678
67939,32717,67464,69760,27742,61915
67939,32717,73464,69205,28586,68182
67939,32717,79464,68091,29193,74657
67939,32717,85464,66750,29603,81007
67939,38717,25464,65506,36332,19872
67939,38717,31464,66849,35248,24287
67939,38717,37464,67760,34699,30342
67939,38717,43464,68011,34564,37424
67939,38717,49464,68310,33951,44465
67939,38717,55464,68474,33315,51246
67939,38717,61464,68648,33230,57517
67939,38717,67464,68653,33522,63570
67939,38717,73464,68119,34195,69829
67939,38717,79464,67081,34807,76064
67939,44717,25464,67023,42833,21269
67939,44717,31464,68244,42089,26352
67939,44717,37464,68922,42169,32656
67939,44717,43464,68727,41603,39229
67939,44717,49464,68710,40672,45850
67939,44717,55464,68508,39852,52536
67939,44717,61464,68088,39511,58975
67939,44717,67464,67565,39637,65291
67939,44717,73464,66795,40078,71489
67939,50717,31464,68579,49579,28781
67939,50717,37464,68928,49582,35083
67939,50717,43464,69047,48691,40692
67939,50717,49464,68798,47285,46731
67939,50717,55464,68229,46186,53326
67939,50717,61464,67324,45668,59999
67939,56717,31464,68799,56316,30158
67939,56717,37464,68861,56031,36202
67939,56717,43464,68775,54980,41580
67939,56717,49464,68567,53474,47388
67939,56717,55464,67758,52259,53944
67939,56717,61464,66403,51702,60742
67939,62717,31464,69053,62315,30603
67939,62717,37464,68763,61715,36564
67939,62717,43464,68300,60785,42387
67939,62717,49464,67720,59521,48521
67939,62717,55464,66819,58425,54927
67939,62717,61464,65428,57901,61456
67939,62717,67464,63672,58133,67830
67939,62717,73464,62021,58600,73984
67939,68717,31464,69460,68013,30394
67939,68717,37464,69095,67563,36070
67939,68717,43464,68139,66577,42511
67939,68717,49464,67114,65568,49241
67939,68717,55464,66042,64772,55734
67939,68717,61464,64653,64419,62121
67939,68717,67464,62988,64582,68398
67939,68717,73464,61424,64965,74539
67939,68717,79464,60563,65215,80521
67939,68717,85464,60646,65133,86321
67939,68717,91464,61111,64791,91935
67939,68717,97464,61425,64356,97439
67939,68717,103464,61347,64019,102986
67939,68717,109464,60878,63909,108685
67939,68717,115464,60268,64005,114570
67939,68717,121464,59799,64192,120683
67939,68717,127464,59424,64269,126911
67939,68717,133464,59045,64424,133239
67939,68717,139464,58713,64671,139729
67939,68717,145464,58287,64752,146047
67939,68717,151464,57540,64712,151843
67939,68717,157464,56764,64823,157513
67939,68717,163464,56637,65055,163394
67939,68717,169464,56884,65342,169552
67939,68717,175464,56922,65709,175719
67939,68717,181464,57057,66078,182056
67939,68717,187464,57769,66140,188451
67939,68717,193464,59135,65638,194612
67939,74717,31464,69699,73387,30598
67939,74717,37464,69193,72965,36298
67939,74717,43464,68140,72272,42945
67939,74717,49464,66992,71537,49778
67939,74717,55464,65836,70982,56342
67939,74717,61464,64534,70748,62692
67939,74717,67464,63139,70846,68902
67939,74717,73464,61952,71098,75017
67939,74717,79464,61419,71218,81030
67939,74717,85464,61655,71017,86876
67939,74717,91464,62191,70539,92480
67939,74717,97464,62515,69969,97896
67939,74717,103464,62377,69572,103372
67939,74717,109464,61815,69553,109101
67939,74717,115464,61160,69797,115026
67939,74717,121464,60684,70127,121113
67939,74717,127464,60288,70247,127240
67939,74717,133464,59958,70256,133430
67939,74717,139464,59812,70229,139775
67939,74717,145464,59702,70041,146076
67939,74717,151464,59321,69884,152042
67939,74717,157464,58750,70066,157750
67939,74717,163464,58409,70444,163544
67939,74717,169464,58290,70888,169603
67939,74717,175464,58203,71433,175794
67939,74717,181464,58323,71934,182139
67939,74717,187464,58989,72127,188525
67939,74717,193464,60281,71607,194923
67939,74717,199464,61876,70631,201362
67939,74717,205464,62662,70485,205778
67939,74717,211464,63367,70697,210563
67939,74717,217464,64387,70708,216211
67939,80717,31464,69788,78711,31610
67939,80717,37464,69192,78343,37532
67939,80717,43464,68285,77831,43954
67939,80717,49464,67245,77299,50555
67939,80717,55464,66165,76899,57019
67939,80717,61464,65055,76724,63267
67939,80717,67464,64008,76767,69350
67939,80717,73464,63269,76900,75359
67939,80717,79464,63121,76918,81359
67939,80717,85464,63546,76666,87288
67939,80717,91464,64060,76173,92967
67939,80717,97464,64193,75649,98372
67939,80717,103464,63867,75374,103845
67939,80717,109464,63192,75527,109667
67939,80717,115464,62547,75869,115642
67939,80717,121464,62019,76224,121602
67939,80717,127464,61501,76394,127537
67939,80717,133464,61147,76268,133540
67939,80717,139464,61142,75940,139712
67939,80717,145464,61302,75483,145969
67939,80717,151464,61235,75181,152069
67939,80717,157464,60808,75377,157869
67939,80717,163464,60354,75804,163679
67939,80717,169464,60024,76341,169686
67939,80717,175464,59832,77004,175823
67939,80717,181464,59886,77569,182022
67939,80717,187464,60385,77891,188146
67939,80717,193464,61388,77536,194304
67939,80717,199464,62596,76788,200183
67939,80717,205464,63565,76422,205257
67939,80717,211464,64368,76586,210154
