src_x,src_y,src_z,trg_x,trg_y,trg_z
28638.5,83816.6,119000.0,33523.6,76756.2,119650.0
27426.300000000003,81745.6,135050.0,35949.9,74642.5,133900.0
29354.800000000003,81038.8,152200.0,35598.4,71022.0,152950.0
30800.699999999997,81689.2,165850.0,38607.4,73714.9,165700.0
31218.699999999997,83394.8,179150.0,39295.9,77450.9,179400.0
32350.5,85089.6,192650.0,38772.2,79869.9,192400.0
35731.2,86449.2,210800.0,38012.7,82386.5,207500.0
41378.6,87174.5,222000.0,44517.8,85433.1,226250.0
25638.399999999994,105838.0,58550.0,23766.1,95842.2,67700.0
18585.600000000006,89695.6,91950.0,19352.6,84106.2,91050.0
20907.399999999994,86222.0,106150.0,19007.6,78774.0,104400.0
19398.800000000003,78324.6,115850.0,22733.5,69543.8,116300.0
18775.600000000006,75202.0,139100.0,28393.6,65998.4,134050.0
21086.0,75536.4,155250.0,30954.8,65151.0,154750.0
21234.199999999997,76193.8,176550.0,33592.0,66188.4,172950.0
25858.600000000006,78053.2,194200.0,33946.2,70385.1,195250.0
29734.0,79063.3,210000.0,36188.2,72330.7,203050.0
35555.600000000006,81601.7,222600.0,36933.0,75112.3,218750.0
42375.5,83430.7,230600.0,41751.4,82636.3,234500.0
30261.100000000006,90090.4,95950.0,31494.4,82961.6,97550.0
27017.800000000003,84538.6,110300.0,31954.2,78325.6,111450.0
25890.199999999997,78933.6,123250.0,33067.6,73820.7,123150.0
29229.399999999994,78945.0,162850.0,37498.4,71208.2,161750.0
29795.600000000006,79214.8,176150.0,39219.8,73093.0,175400.0
30862.800000000003,79559.3,190650.0,38992.6,75659.5,190850.0
46658.8,86785.0,224800.0,47591.2,83068.0,229250.0
34142.8,84108.4,208300.0,38102.6,78131.8,206750.0
23867.600000000006,75612.4,79150.0,29269.0,69980.8,81650.0
24726.399999999994,80727.6,89550.0,28690.0,74586.4,91900.0
27631.5,78863.3,104800.0,31745.2,69806.0,103650.0
30377.0,72557.2,116000.0,38448.4,65158.6,114550.0
31273.800000000003,70938.4,129850.0,39845.5,63851.4,128900.0
32356.800000000003,68239.5,143900.0,41959.6,62561.3,144650.0
33926.2,67180.2,158300.0,46004.7,61941.9,157950.0
36148.399999999994,69700.1,185400.0,46714.2,66706.7,186450.0
35161.0,68264.4,171400.0,46177.6,63978.7,171450.0
38444.399999999994,73301.2,200500.0,44328.3,69114.4,202750.0
42405.9,74797.1,215850.0,45843.2,72625.6,217250.0
